year,month,region,count
2020,8,광주,"2,890"
2020,8,대전,"3,103"
2020,8,울산,"3,277"
2020,8,세종,834
2020,8,경기,"14,221"
2020,8,강원,"3,128"
2020,8,충북,"2,947"
2020,8,충남,"3,838"
2020,8,전북,"2,350"
2020,8,전남,"3,406"
2020,8,경북,"3,761"
2020,8,경남,"4,466"
2020,8,제주,"12,179"
2020,7,서울,"14,313"
2020,7,부산,"3,968"
2020,7,대구,"8,938"
2020,7,인천,"3,409"
2020,7,광주,"2,805"
2020,7,대전,"3,006"
2020,7,울산,"3,212"
2020,7,세종,819
2020,7,경기,"13,417"
2020,7,강원,"2,976"
2020,7,충북,"2,854"
2020,7,충남,"3,670"
2020,7,전북,"2,280"
2020,7,전남,"3,238"
2020,7,경북,"3,654"
2020,7,경남,"4,360"
2020,7,제주,"12,096"
2020,6,서울,"13,738"
2020,6,부산,"3,843"
2020,6,대구,"8,831"
2020,6,인천,"3,206"
2020,6,광주,"2,705"
2020,6,대전,"2,899"
2020,6,울산,"3,163"
2020,6,세종,810
2020,6,경기,"12,938"
2020,6,강원,"2,774"
2020,6,충북,"2,691"
2020,6,충남,"3,490"
2020,6,전북,"2,162"
2020,6,전남,"3,121"
2020,6,경북,"3,543"
2020,6,경남,"4,269"
2020,6,제주,"11,985"
2020,5,서울,"12,468"
2020,5,부산,"3,732"
2020,5,대구,"8,757"
2020,5,인천,"2,851"
2020,5,광주,"2,531"
2020,5,대전,"2,728"
2020,5,울산,"2,821"
2020,5,세종,800
2020,5,경기,"11,931"
2020,5,강원,"2,587"
2020,5,충북,"2,575"
2020,5,충남,"3,286"
2020,5,전북,"1,982"
